final_split,agent_id,reviewer_name,harness,model,task_id,terminal_status,scoreable_cell,verified_pass,failure_category,latency_seconds,estimated_cost_usd,usage_observed,cost_observation_kind,usage_source,billed_cost_usd,patch_sha256,run_id,paid_cell_source,score_source_kind,source_artifact_path,replacement_rule
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__001,verified_fail,True,False,hidden verifier failure,110.47,0.1768825,True,observed_tokens_estimated_cost,adapter_output_usage_json,,486f8f899f47a47006b37637b80ce9ad1c10a40bb53d389c9505db72d7be48c3,reused__reused_original_selection_score__codex_gpt_5_4__boltons__supply_expansion_20260526__001,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_gpt_5_4,Kilo + GPT mainline,kilo,gpt-5.4,boltons__supply_expansion_20260526__001,verified_fail,True,False,hidden verifier failure,44.019,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,3be2d45a6255cc6a3ad902b79f663f3e03b84f2fa69d9bd3c7a7a98a1757cdcc,reused__reused_original_selection_score__kilo_gpt_5_4__boltons__supply_expansion_20260526__001,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,boltons__supply_expansion_20260526__001,verified_fail,True,False,hidden verifier failure,43.48,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,370dab3ac8e410ce572ac739413061da26830f38b238a483136cd824bf584a06,reused__reused_original_selection_score__kilo_gpt_5_4_mini__boltons__supply_expansion_20260526__001,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,kilo,claude-sonnet-4-6,boltons__supply_expansion_20260526__001,verified_fail,True,False,hidden verifier failure,102.496,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,33cd36fced94e234fc0754cfa24f8975e66a70a0418d8c957df50736cfc1463d,reused__reused_original_selection_score__kilo_claude_sonnet_4_6__boltons__supply_expansion_20260526__001,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__002,verified_pass,True,True,verified pass,78.892,0.2056105,True,observed_tokens_estimated_cost,adapter_output_usage_json,,2d83cae0c4e1fb85971e867eec916b03700bfad2b693a0793c2effc40e93cafd,reused__reused_original_selection_score__codex_gpt_5_4__boltons__supply_expansion_20260526__002,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_gpt_5_4,Kilo + GPT mainline,kilo,gpt-5.4,boltons__supply_expansion_20260526__002,verified_fail,True,False,hidden verifier failure,27.544,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,c54c195e48a427b33f1bbd963fa53554e8d17870470b4a694306bb828774e19c,reused__reused_original_selection_score__kilo_gpt_5_4__boltons__supply_expansion_20260526__002,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,boltons__supply_expansion_20260526__002,acut_harness_error,False,False,exceeded budget or timeout,293.126,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,434bd42dc5ad50f642de24d839e85ae6d560e87bfba28abf98adea9b96903270,reused__reused_original_selection_score__kilo_gpt_5_4_mini__boltons__supply_expansion_20260526__002,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,kilo,claude-sonnet-4-6,boltons__supply_expansion_20260526__002,verified_pass,True,True,verified pass,194.59,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,6f7744f371d21b5ada33152d88b6f8be78ce44a612ed1d5a7d804ac683dfd875,reused__reused_original_selection_score__kilo_claude_sonnet_4_6__boltons__supply_expansion_20260526__002,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__003,verified_pass,True,True,verified pass,92.575,0.18185,True,observed_tokens_estimated_cost,adapter_output_usage_json,,21610fd14f1b9b60d49881c9a66238b430054b92f11f201dfb8e436cb43bafd5,reused__reused_original_selection_score__codex_gpt_5_4__boltons__supply_expansion_20260526__003,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_gpt_5_4,Kilo + GPT mainline,kilo,gpt-5.4,boltons__supply_expansion_20260526__003,verified_pass,True,True,verified pass,157.542,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,06e6327ee595e5ddb9b32f20508b8388fbcb5c47d5d874fbeea9f1780de8e774,reused__reused_original_selection_score__kilo_gpt_5_4__boltons__supply_expansion_20260526__003,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,boltons__supply_expansion_20260526__003,verified_pass,True,True,verified pass,473.384,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,09a318f851b81b444f97dcd01d466ea6c7c2c9e23e003d1be6292a5b92a25f93,reused__reused_original_selection_score__kilo_gpt_5_4_mini__boltons__supply_expansion_20260526__003,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,kilo,claude-sonnet-4-6,boltons__supply_expansion_20260526__003,verified_pass,True,True,verified pass,75.606,0.5,False,missing_usage_conservative_estimate,missing_adapter_usage,,00b88303beac93f40fe02179851da91911151cd3f1aed3335d8e6417cbc87739,reused__reused_original_selection_score__kilo_claude_sonnet_4_6__boltons__supply_expansion_20260526__003,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__004,verified_fail,True,False,hidden verifier failure,322.844,0.39648,True,observed_tokens_estimated_cost,adapter_output_usage_json,,d99f38e106f3798f9cefcdbaf4e39c8514d6ccd5887433fae1e59adbaa400f62,reused__reused_original_selection_score__codex_gpt_5_4__boltons__supply_expansion_20260526__004,reused_committed_paid_cell,reused_original_selection_score,experiments/agent_selection_demo/results/selection_score_table.csv,
