stage,condition,candidate_id,repository,origin_id,agent_id,reviewer_name,harness,model,surface,task_id,terminal_status,scoreable_cell,verified_pass,failure_category,latency_seconds,estimated_cost_usd,usage_observed,cost_observation_kind,usage_source,input_tokens,cached_input_tokens,output_tokens,endpoint_proof_status,artifact_hash,patch_sha256,run_id,result_artifact_path
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2304,verified_fail,True,False,hidden verifier failure,142.067,0.2113176,True,observed_tokens_estimated_cost,adapter_output_usage_json,825994,677888,10977,llm_endpoint_proxy_secret_isolated,,fe83af49161eb27da161891491ebc2c69e43b2147e92f0f35a9c2309b174c225,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2304,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2304/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2305,verified_fail,True,False,hidden verifier failure,55.124,0.06891675,True,observed_tokens_estimated_cost,adapter_output_usage_json,323249,286720,4448,llm_endpoint_proxy_secret_isolated,,53f1728a8a2f355b0e24aaf20303a20c980cc63d5b8a7371ad4c7a8f79877391,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2305,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2305/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2308,verified_fail,True,False,hidden verifier failure,95.446,0.18983055,True,observed_tokens_estimated_cost,adapter_output_usage_json,287173,112384,11180,llm_endpoint_proxy_secret_isolated,,242a6b32a11a8a6a7c7c254a2390bce4686d2c44ff945dc1c7de068399d57cba,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2308,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2308/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2311,verified_fail,True,False,hidden verifier failure,376.281,0.61906035,True,observed_tokens_estimated_cost,adapter_output_usage_json,2379295,1843328,17519,llm_endpoint_proxy_secret_isolated,,ced93c976462b7fcf3e26ea1996611a82df9badfc699df64e579bc29200456cc,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2311,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2311/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2312,verified_fail,True,False,hidden verifier failure,198.001,0.2283768,True,observed_tokens_estimated_cost,adapter_output_usage_json,672942,475904,9979,llm_endpoint_proxy_secret_isolated,,bca0bb7f1cba5530beee0355b7151c143f7bafbf28810c2f4911ca12052f72fd,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2312,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2312/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2315,verified_fail,True,False,hidden verifier failure,40.166,0.06067095,True,observed_tokens_estimated_cost,adapter_output_usage_json,179177,128896,2954,llm_endpoint_proxy_secret_isolated,,1a2b3c9523fd66dcb8f3864bcd9a07040abcadcc3c84227842378195382f3fe1,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2315,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2315/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2317,verified_fail,True,False,hidden verifier failure,516.103,0.802554,True,observed_tokens_estimated_cost,adapter_output_usage_json,4022468,3466880,27966,llm_endpoint_proxy_secret_isolated,,01f30ee6cc2a915a53a74d2b11277f369072fec7126d835cf652f2bf53da851e,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2317,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2317/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2318,verified_pass,True,True,verified pass,192.884,0.3698718,True,observed_tokens_estimated_cost,adapter_output_usage_json,913280,527744,9142,llm_endpoint_proxy_secret_isolated,,9b1e0afb2e40a9f44fe2eb463f9c3d70d2e23974f334a5dc24bd3e319c52d760,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2318,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2318/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2320,verified_fail,True,False,hidden verifier failure,94.887,0.28544985,True,observed_tokens_estimated_cost,adapter_output_usage_json,704925,418048,8653,llm_endpoint_proxy_secret_isolated,,57a25abb8e2c40f01fe97424f6e6d366a231c32fa52f7d063e6f349b58c64c93,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2320,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2320/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2321,verified_fail,True,False,hidden verifier failure,513.032,0.54148155,True,observed_tokens_estimated_cost,adapter_output_usage_json,2166881,1694464,13352,llm_endpoint_proxy_secret_isolated,,d52d06dbd519d1b1f3178f63af6c272cd6432b22c7439956eeac15c29b6a4b03,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2321,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2321/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2323,verified_pass,True,True,verified pass,140.197,0.14306475,True,observed_tokens_estimated_cost,adapter_output_usage_json,488737,370560,5920,llm_endpoint_proxy_secret_isolated,,60aecb753da4219d1db586afb4f60e00279af6910ac412453f2c16e94297b1a8,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2323,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2323/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2325,verified_pass,True,True,verified pass,443.245,0.4212021,True,observed_tokens_estimated_cost,adapter_output_usage_json,1695940,1357568,14579,llm_endpoint_proxy_secret_isolated,,38800de911f6a9889de7a6a68b28f0e0208dc450314a9b64f314ae555e05576d,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2325,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2325/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2327,verified_fail,True,False,hidden verifier failure,186.124,0.20351775,True,observed_tokens_estimated_cost,adapter_output_usage_json,490399,283520,6021,llm_endpoint_proxy_secret_isolated,,e4b490f881d51f494d47694471baaf53652f272273125ec27cd63b2d8f8f7a0f,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2327,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2327/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2335,verified_pass,True,True,verified pass,170.975,0.25256055,True,observed_tokens_estimated_cost,adapter_output_usage_json,667555,454784,13083,llm_endpoint_proxy_secret_isolated,,21f2712b5ada16bffebff7f89697c33c2f0064ba27e1811abe5a6025812c8708,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2335,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2335/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2336,verified_fail,True,False,hidden verifier failure,335.96,0.42660015,True,observed_tokens_estimated_cost,adapter_output_usage_json,1224881,830592,15242,llm_endpoint_proxy_secret_isolated,,6a2cac5ca884cb9f986959ea9bb8eb1e00cbee65e756bfa565c0b2b198e827b9,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2336,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2336/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2338,verified_fail,True,False,hidden verifier failure,292.719,0.3695001,True,observed_tokens_estimated_cost,adapter_output_usage_json,1542170,1291648,18830,llm_endpoint_proxy_secret_isolated,,715b230854c931a640fb07546af12ee37c0bcfa8e76f25bc1a53415b85dd4b78,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2338,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2338/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2340,verified_fail,True,False,hidden verifier failure,157.59,0.29203305,True,observed_tokens_estimated_cost,adapter_output_usage_json,811895,541824,10854,llm_endpoint_proxy_secret_isolated,,f2a304bdc878af8479fa1e57dc87c2d4d8b67e96b129c1c4507938538b933af5,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2340,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2340/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2341,verified_pass,True,True,verified pass,252.382,0.6825474,True,observed_tokens_estimated_cost,adapter_output_usage_json,1786122,1079552,15923,llm_endpoint_proxy_secret_isolated,,6f79f2f12434d55a07defec176200b310049af7688a8996da04b1c8feae30d02,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2341,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2341/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2344,verified_pass,True,True,verified pass,211.406,0.2996229,True,observed_tokens_estimated_cost,adapter_output_usage_json,773062,458112,6456,llm_endpoint_proxy_secret_isolated,,cb40e14cd508d2869f6f9e8dc2d178d020051910d196bb6a2fc55d59b1ebd854,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2344,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2344/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2346,verified_pass,True,True,verified pass,134.42,0.3561027,True,observed_tokens_estimated_cost,adapter_output_usage_json,838292,491776,13185,llm_endpoint_proxy_secret_isolated,,be9b5a0698f053fbef425a84e6ac5112d6701add4cf4e5b6ac41783c41ca3722,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2346,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2346/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2352,verified_fail,True,False,hidden verifier failure,145.723,0.3072036,True,observed_tokens_estimated_cost,adapter_output_usage_json,619432,311168,11704,llm_endpoint_proxy_secret_isolated,,0eca96929633105adb1431d1041f79f3c483a9ce33ea2607d29635503a520f10,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2352,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2352/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2353,verified_fail,True,False,hidden verifier failure,1015.142,1.666821,True,observed_tokens_estimated_cost,adapter_output_usage_json,7343752,6120960,64590,llm_endpoint_proxy_secret_isolated,,5745ccdd8542d564a6763cce159df3ff58986cafcc02b02f7c0d4f454e682955,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2353,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2353/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2354,verified_fail,True,False,hidden verifier failure,481.391,0.70857645,True,observed_tokens_estimated_cost,adapter_output_usage_json,2489279,1951616,35324,llm_endpoint_proxy_secret_isolated,,413ce2a0fca1f1e93be71dbe09e845c3670be82357ec0d231fffb6cb7b825c5b,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2354,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2354/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2355,verified_pass,True,True,verified pass,97.996,0.2050815,True,observed_tokens_estimated_cost,adapter_output_usage_json,545134,348800,7038,llm_endpoint_proxy_secret_isolated,,4d5dd317afa7a9416e269857fb81a15a41519baf5305daf93a53432db3d42f25,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2355,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2355/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2357,verified_fail,True,False,hidden verifier failure,67.78,0.13410525,True,observed_tokens_estimated_cost,adapter_output_usage_json,283393,152960,5513,llm_endpoint_proxy_secret_isolated,,f6f8794ddb34ba77ddf7f5dcdc7fa48ae20fc906a9fffa6b5b5b69679bffa99d,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2357,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2357/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2358,verified_pass,True,True,verified pass,261.243,0.3580752,True,observed_tokens_estimated_cost,adapter_output_usage_json,788728,397696,7772,llm_endpoint_proxy_secret_isolated,,ede2464ef6811266aaa7551db4d05341395a9be0c1fb61e45ced751f8191db34,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2358,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2358/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2360,verified_pass,True,True,verified pass,171.919,0.354042,True,observed_tokens_estimated_cost,adapter_output_usage_json,895230,522880,7903,llm_endpoint_proxy_secret_isolated,,28bb0bb1aee25a50b786766e4c2edb8a56b20d48bece381b3c11e1e628558c9d,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2360,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2360/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2361,verified_pass,True,True,verified pass,73.74,0.2148762,True,observed_tokens_estimated_cost,adapter_output_usage_json,419782,189696,6241,llm_endpoint_proxy_secret_isolated,,9a86838dfc0ce1cf79e701aa447639d53297402ced4d202bbd122753ec4b1056,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2361,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2361/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2362,verified_pass,True,True,verified pass,685.811,0.3892224,True,observed_tokens_estimated_cost,adapter_output_usage_json,836560,427392,11176,llm_endpoint_proxy_secret_isolated,,b08f93f985d846bafdc33b70220a22b473ca2a001aa2c2af2fbb16783d17569b,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2362,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2362/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2363,verified_pass,True,True,verified pass,207.474,0.22006245,True,observed_tokens_estimated_cost,adapter_output_usage_json,692527,493056,7440,llm_endpoint_proxy_secret_isolated,,aea750c4b1842c52dd7f9d021c67cee0051d9673e6f4fb7237256a4f33762d9e,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2363,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2363/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2365,verified_pass,True,True,verified pass,445.958,0.30355965,True,observed_tokens_estimated_cost,adapter_output_usage_json,919233,651392,11961,llm_endpoint_proxy_secret_isolated,,7663a198fa38e9fae4beb2d2616a4ba06e81c90d09e7144bedcc74116a7e5ca5,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2365,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2365/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2366,verified_fail,True,False,hidden verifier failure,224.177,0.2024205,True,observed_tokens_estimated_cost,adapter_output_usage_json,968546,827520,7686,llm_endpoint_proxy_secret_isolated,,52884e8e1075db513472367f3be49db2fa70725245965637325a42351233294b,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2366,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2366/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2367,verified_pass,True,True,verified pass,99.731,0.11893965,True,observed_tokens_estimated_cost,adapter_output_usage_json,371975,273792,5504,llm_endpoint_proxy_secret_isolated,,eac82793f291cc78e1f2a3dc528908a7e88c2ea39d83424961be5eace2eebc67,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2367,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2367/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2368,verified_pass,True,True,verified pass,90.429,0.2296653,True,observed_tokens_estimated_cost,adapter_output_usage_json,744218,531584,6738,llm_endpoint_proxy_secret_isolated,,b826ddf865845b9fdd191c13d349803405b07aefbb1e8fe996190342104a1512,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2368,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2368/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2369,verified_pass,True,True,verified pass,74.285,0.13167405,True,observed_tokens_estimated_cost,adapter_output_usage_json,407895,292864,5208,llm_endpoint_proxy_secret_isolated,,d3a2fec69969dcd7fbc8acb4b822ebd39f672decb7d52819d7f8f0013948bc18,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2369,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2369/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2370,verified_pass,True,True,verified pass,175.134,0.11997405,True,observed_tokens_estimated_cost,adapter_output_usage_json,326853,210304,3731,llm_endpoint_proxy_secret_isolated,,a6a23db64454074b75fff5a6dc532096192812c4f3a3e0870867840cbb1a38ca,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2370,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2370/submission.patch
future_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2371,verified_fail,True,False,hidden verifier failure,469.688,1.1843865,True,observed_tokens_estimated_cost,adapter_output_usage_json,4531842,3543680,39442,llm_endpoint_proxy_secret_isolated,,4cf337ee5990ea50046884bd42c70e49c6b1960b1282cfb700aa478b079e51cc,future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2371,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_future_baseline_baseline/kilo_gpt_5_4_mini/future_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2371/submission.patch
