task_id,agent_id,reviewer_name,task_order,task_time,original_final_split,terminal_status,scoreable_cell,verified_pass,policy_valid_cell,policy_pass,policy_outcome_value,failure_category,source_artifact_path,score_source_kind,cost_observation_kind
boltons__supply_expansion_20260526__001,codex_gpt_5_4,Codex + GPT mainline,0,2015-04-19T00:13:33-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__001,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,0,2015-04-19T00:13:33-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__001,kilo_gpt_5_4,Kilo + GPT mainline,0,2015-04-19T00:13:33-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__001,kilo_gpt_5_4_mini,Kilo + GPT low-cost,0,2015-04-19T00:13:33-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__002,codex_gpt_5_4,Codex + GPT mainline,1,2015-04-19T00:30:30-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__002,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,1,2015-04-19T00:30:30-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__002,kilo_gpt_5_4,Kilo + GPT mainline,1,2015-04-19T00:30:30-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__002,kilo_gpt_5_4_mini,Kilo + GPT low-cost,1,2015-04-19T00:30:30-07:00,selection,acut_harness_error,False,False,True,False,0,exceeded budget or timeout,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__003,codex_gpt_5_4,Codex + GPT mainline,2,2015-04-20T13:52:04-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__003,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,2,2015-04-20T13:52:04-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__003,kilo_gpt_5_4,Kilo + GPT mainline,2,2015-04-20T13:52:04-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__003,kilo_gpt_5_4_mini,Kilo + GPT low-cost,2,2015-04-20T13:52:04-07:00,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
boltons__supply_expansion_20260526__004,codex_gpt_5_4,Codex + GPT mainline,3,2015-04-20T13:52:53-07:00,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,observed_tokens_estimated_cost
boltons__supply_expansion_20260526__004,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,3,2015-04-20T13:52:53-07:00,selection,invalid_output,False,False,True,False,0,no meaningful change,experiments/agent_selection_demo/results/selection_score_table.csv,reused_original_selection_score,missing_usage_conservative_estimate
