repo_id,exact_certified_task_count,corrected_window_count,setup_smoke,verifier_speed_summary,decision_label,primary_reason,bounded_repair_attempted,paid_cells_used
sphinx,16,0,passed_prior,"median 9.502s, p95 20.469s on certified rows",rejected,reject_sphinx_move_to_candidate_loop,False,0
mypy,7,0,passed,"current smoke 0.714s; cert sample {'count': 7, 'max_seconds': 14.153, 'median_seconds': 5.835, 'p95_seconds': 14.153}",rejected,exact certification sample conversion 0.2917; corrected threshold requires 80 exact tasks,False,0
black,0,0,partial_probe_failure,"{""median_seconds"": 9.722, ""p95_seconds"": 16.063, ""pass_count"": 1, ""sample_count"": 2, ""speed_class"": ""partial_probe_failure""}",rejected,projected/existing supply 73 below corrected exact minimum 80,False,0
starlette,0,0,partial_probe_failure,"{""median_seconds"": 1.012, ""p95_seconds"": 1.693, ""pass_count"": 1, ""sample_count"": 2, ""speed_class"": ""partial_probe_failure""}",rejected,projected/existing supply 57 below corrected exact minimum 80,False,0
attrs,0,0,passed,"{""command_shape"": [""uv"", ""run"", ""--with"", ""pytest>=8,<10"", ""--with"", ""."", ""--"", ""python"", ""-m"", ""pytest"", ""<smoke_paths>"", ""-q""], ""duration_seconds"": 1.858, ""returncode"": 0, ""status"": ""passed"", ""stderr_line_count"": 1, ""stderr_tail_hash"": ""sha256:887d991bfccc1c33bb0e58c338543f3678b004ed907f112d721fc8b0c6a02ec5"", ""stdout_line_count"": 4, ""stdout_tail_hash"": ""sha256:3971ac58d905515ffa60d4b2beb4256962a39428215d0609514c9595ca358925"", ""timed_out"": false}",rejected,projected/existing supply 31 below corrected exact minimum 80; blockers: projected_release_eligible_count_below_60; evidence_backed_multi_window_not_proven,False,0
click,0,0,passed,"{""command_shape"": [""uv"", ""run"", ""--with"", ""pytest>=8,<10"", ""--with"", ""."", ""--"", ""python"", ""-m"", ""pytest"", ""<smoke_paths>"", ""-q""], ""duration_seconds"": 0.445, ""returncode"": 0, ""status"": ""passed"", ""stderr_line_count"": 1, ""stderr_tail_hash"": ""sha256:887d991bfccc1c33bb0e58c338543f3678b004ed907f112d721fc8b0c6a02ec5"", ""stdout_line_count"": 12, ""stdout_tail_hash"": ""sha256:22dc3254520eb2e65995e519e2fe1b5de772187847226af4fe8ce35fcd7276de"", ""timed_out"": false}",rejected,projected/existing supply 30 below corrected exact minimum 80; blockers: projected_release_eligible_count_below_60; evidence_backed_multi_window_not_proven,False,0
django,0,0,environment_failed_or_unusable,"{""median_seconds"": 0.014, ""p95_seconds"": 0.015, ""pass_count"": 0, ""sample_count"": 2, ""speed_class"": ""environment_failed_or_unusable""}",rejected,classified large_but_heavy; setup/replay blocker not bounded enough for this loop,False,0
pandas,0,0,environment_failed_or_unusable,"{""median_seconds"": 0.085, ""p95_seconds"": 0.092, ""pass_count"": 0, ""sample_count"": 2, ""speed_class"": ""environment_failed_or_unusable""}",rejected,classified large_but_heavy; setup/replay blocker not bounded enough for this loop,False,0
scikit-learn,0,0,environment_failed_or_unusable,"{""median_seconds"": 0.084, ""p95_seconds"": 0.084, ""pass_count"": 0, ""sample_count"": 1, ""speed_class"": ""environment_failed_or_unusable""}",rejected,classified large_but_heavy; setup/replay blocker not bounded enough for this loop,False,0
packaging,0,0,passed,"{""command_shape"": [""uv"", ""run"", ""--with"", ""pytest>=8,<10"", ""--with"", ""."", ""--"", ""python"", ""-m"", ""pytest"", ""<smoke_paths>"", ""-q""], ""duration_seconds"": 16.083, ""returncode"": 0, ""status"": ""passed"", ""stderr_line_count"": 1, ""stderr_tail_hash"": ""sha256:887d991bfccc1c33bb0e58c338543f3678b004ed907f112d721fc8b0c6a02ec5"", ""stdout_line_count"": 749, ""stdout_tail_hash"": ""sha256:550727ac57986cdbb62868817af0fe3748d83d2944a94a2618237e2c4d43a8ce"", ""timed_out"": false}",rejected,projected/existing supply 0 below corrected exact minimum 80; blockers: projected_release_eligible_count_below_60; evidence_backed_multi_window_not_proven; high_prior_replay_probe_failed; bounded_no_paid_certification_needed,False,0
marshmallow,0,0,passed,"{""command_shape"": [""uv"", ""run"", ""--with"", ""pytest>=8,<10"", ""--with"", ""."", ""--"", ""python"", ""-m"", ""pytest"", ""<smoke_paths>"", ""-q""], ""duration_seconds"": 0.327, ""returncode"": 0, ""status"": ""passed"", ""stderr_line_count"": 1, ""stderr_tail_hash"": ""sha256:887d991bfccc1c33bb0e58c338543f3678b004ed907f112d721fc8b0c6a02ec5"", ""stdout_line_count"": 6, ""stdout_tail_hash"": ""sha256:2df21845d6e4dabfa6ce8194df3c15fc08c1d95755e639673987052b3e8f2d83"", ""timed_out"": false}",rejected,projected/existing supply 0 below corrected exact minimum 80; blockers: projected_release_eligible_count_below_60; evidence_backed_multi_window_not_proven; high_prior_replay_probe_failed; bounded_no_paid_certification_needed,False,0
