task_id,repo_id,task_time_bucket,module_or_package,task_family_label,source_kind,statement_source,statement_quality_status,implementation_file_count_bucket,test_file_count_bucket,candidate_membership,in_weighted_candidate,in_unweighted_candidate,in_stratified_candidate,adapter_outcomes,task_level_outcome,adapter_disagreement,scoreable_cell_count,terminal_status_counts
attrs__hist__009,attrs,2020H2,_next_gen,attrs:_next_gen,issue,deterministic_sanitized_context_summary,pass_with_minor_risk,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
attrs__hist__010,attrs,2020H2,_next_gen,attrs:_next_gen,issue,deterministic_sanitized_context_summary,pass,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
attrs__hist__032,attrs,2021H1,_make,attrs:_make,issue,deterministic_sanitized_context_summary,pass,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_fail"", ""kilo_workspace"": ""verified_fail""}",0.0,False,2,"{""verified_fail"": 2}"
attrs__hist__033,attrs,2021H2,converters,attrs:converters,issue,deterministic_sanitized_context_summary,pass,1,2,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_fail"", ""kilo_workspace"": ""verified_fail""}",0.0,False,2,"{""verified_fail"": 2}"
attrs__hist__035,attrs,2021H2,_make,attrs:_make,issue,deterministic_sanitized_context_summary,pass,1,1,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
attrs__hist__036,attrs,2021H2,__init__,attrs:__init__,pull_request,deterministic_sanitized_context_summary,pass,1,2,"barcarolle_weighted_time_family_matched,repo_stratified_by_target_profile,repo_unweighted_same_budget",True,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
attrs__hist__039,attrs,2021H2,validators,attrs:validators,issue,deterministic_sanitized_context_summary,pass,1,2,"repo_stratified_by_target_profile,repo_unweighted_same_budget",False,True,True,"{""codex_workspace"": ""verified_fail"", ""kilo_workspace"": ""verified_fail""}",0.0,False,2,"{""verified_fail"": 2}"
attrs__hist__041,attrs,2021H2,_funcs,attrs:_funcs,issue,deterministic_sanitized_context_summary,pass,1,2,"repo_stratified_by_target_profile,repo_unweighted_same_budget",False,True,True,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
attrs__hist__045,attrs,2022H1,validators,attrs:validators,pull_request,deterministic_sanitized_context_summary,pass_with_minor_risk,1,1,barcarolle_weighted_time_family_matched,True,False,False,"{""codex_workspace"": ""verified_pass"", ""kilo_workspace"": ""verified_pass""}",1.0,False,2,"{""verified_pass"": 2}"
attrs__hist__047,attrs,2022H1,validators,attrs:validators,issue,deterministic_sanitized_context_summary,pass,1,1,barcarolle_weighted_time_family_matched,True,False,False,"{""codex_workspace"": ""verified_fail"", ""kilo_workspace"": ""verified_fail""}",0.0,False,2,"{""verified_fail"": 2}"
