task_id,target_commit,source_kind,source_ref,source_title,source_body_digest,source_url,classification,leakage_risk,manual_review_required,hardened_decision,github_lookup_attempted,github_lookup_status,raw_github_response_committed
humanize__hist__002,3605332011b4a2f7141b0bffad83eb53c80e1648,commit_message_fallback,commit:3605332011b4a2f7141b0bffad83eb53c80e1648,Add micro- and millisecond level to naturaldelta and naturaltime,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/3605332011b4a2f7141b0bffad83eb53c80e1648,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__003,1afc39e78689ef2d735d2f7bbb4ce5eb6bd31705,commit_message_fallback,commit:1afc39e78689ef2d735d2f7bbb4ce5eb6bd31705,naturaldate now appends a year when \xb15 months,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/1afc39e78689ef2d735d2f7bbb4ce5eb6bd31705,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__004,5dfd2b04582808a9a7f921a47df6226c2cba0959,commit_message_fallback,commit:5dfd2b04582808a9a7f921a47df6226c2cba0959,Add scientific notation to string support,25863c74c14a1584,https://github.com/python-humanize/humanize/commit/5dfd2b04582808a9a7f921a47df6226c2cba0959,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__005,2f179b6b5c1e2eb88240e3ec42ff9edeb946ea65,commit_message_fallback,commit:2f179b6b5c1e2eb88240e3ec42ff9edeb946ea65,Fix: AP style for 0 is 'zero',e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/2f179b6b5c1e2eb88240e3ec42ff9edeb946ea65,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__006,db9678288054dba85f5ce8959c20cc2436f7a1fa,commit_message_fallback,commit:db9678288054dba85f5ce8959c20cc2436f7a1fa,Show more than bytes for negative file sizes,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/db9678288054dba85f5ce8959c20cc2436f7a1fa,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__007,f14d5c18284f631f4356f9d1b5eb8e043b2db720,commit_message_fallback,commit:f14d5c18284f631f4356f9d1b5eb8e043b2db720,Add ndigits option to intcomma,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/f14d5c18284f631f4356f9d1b5eb8e043b2db720,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__008,2d891b89ebfb6a33e98ecfdd718fc6e50b4a263f,commit_message_fallback,commit:2d891b89ebfb6a33e98ecfdd718fc6e50b4a263f,Fix not defined error.,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/2d891b89ebfb6a33e98ecfdd718fc6e50b4a263f,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__010,1f3663eb8cef765161c04e3bfa6da8c32cbaa6ce,commit_message_fallback,commit:1f3663eb8cef765161c04e3bfa6da8c32cbaa6ce,Upgrade unit for naturaldelta and naturaltime when minimum_unit is set,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/1f3663eb8cef765161c04e3bfa6da8c32cbaa6ce,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__012,3c800b067ced822850ec193ea425947c9e6509e7,commit_message_fallback,commit:3c800b067ced822850ec193ea425947c9e6509e7,Allow custom reference time in naturaldelta and naturaltime,507fb1d64140d72a,https://github.com/python-humanize/humanize/commit/3c800b067ced822850ec193ea425947c9e6509e7,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__013,62706fd4cb90ebeb9bf85685bad8ab1fa9d0c742,pull_request,pr:159,`metric`: Fix precision format,42ebd49b60f2d1ea,https://github.com/python-humanize/humanize/pull/159,problem_context,,,repaired_to_problem_context,True,issue_or_pr_metadata_found;no_pull_request,
humanize__hist__014,cb0ac5989cea442e5e4b2f4effc3906aad1a1d1a,commit_message_fallback,commit:cb0ac5989cea442e5e4b2f4effc3906aad1a1d1a,Internationalise intcomma,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/cb0ac5989cea442e5e4b2f4effc3906aad1a1d1a,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
humanize__hist__015,eb186830db8a78b32afbf4196c13e239ba7ef109,commit_message_fallback,commit:eb186830db8a78b32afbf4196c13e239ba7ef109,Adds humanize.number.clamp,e3b0c44298fc1c14,https://github.com/python-humanize/humanize/commit/eb186830db8a78b32afbf4196c13e239ba7ef109,insufficient_context,,,diagnostic_only_commit_fallback,True,no_pull_request,
